,Region,date,number
0,Africa,2000,217888
1,Europe,2000,460837
2,Middle East and North Africa,2000,219800
3,North America and Caribbean,2000,273800
4,South and Central America,2000,233013
5,South-East Asia,2000,664000
6,Western Pacific,2000,1219457
7,Africa,2011,387000
8,Europe,2011,653000
9,Middle East and North Africa,2011,356000
10,North America and Caribbean,2011,322000
11,South and Central America,2011,289000
12,South-East Asia,2011,856000
13,Western Pacific,2011,1544000
14,Africa,2021,527155.5
15,Europe,2021,670341.8
16,Middle East and North Africa,2021,448205.9
17,North America and Caribbean,2021,361387.9
18,South and Central America,2021,341253.8
19,South-East Asia,2021,1033408.9
20,Western Pacific,2021,1731706
21,Africa,2030,696000
22,Europe,2030,677000
23,Middle East and North Africa,2030,539659.1
24,North America and Caribbean,2030,387594.2
25,South and Central America,2030,376772.8
26,South-East Asia,2030,1182887
27,Western Pacific,2030,1806894.5
28,Africa,2040,1056284.8
29,Europe,2040,668000
30,Middle East and North Africa,2040,703000
31,North America and Caribbean,2040,413000
32,South and Central America,2040,411682.1
33,South-East Asia,2040,1340000
34,Western Pacific,2040,1810000
